Vehicle ID,Timestamp,Location,Vehicle Type,Speed (km/h),Direction,Lane Number
1,2023-02-01 06:00:00,MS4,Truck,50,Outbound,2
2,2023-02-01 06:30:00,MS4,Bus,50,Outbound,1
3,2023-02-01 07:00:00,MS4,Motorcycle,34,Inbound,1
4,2023-02-01 07:30:00,MS4,Bus,77,Outbound,2
5,2023-02-01 08:00:00,MS4,Car,49,Outbound,2
6,2023-02-01 08:30:00,MS4,Bus,66,Outbound,2
7,2023-02-01 09:00:00,MS4,Bus,32,Outbound,2
8,2023-02-01 09:30:00,MS4,Truck,73,Outbound,2
9,2023-02-01 10:00:00,MS4,Bus,62,Outbound,2
10,2023-02-01 10:30:00,MS4,Motorcycle,82,Outbound,1
11,2023-02-01 11:00:00,MS4,Truck,38,Inbound,2
12,2023-02-01 11:30:00,MS4,Car,38,Inbound,1
13,2023-02-01 12:00:00,MS4,Motorcycle,33,Outbound,1
14,2023-02-01 12:30:00,MS4,Car,64,Inbound,2
15,2023-02-01 13:00:00,MS4,Bus,46,Inbound,1
16,2023-02-01 13:30:00,MS4,Motorcycle,63,Outbound,2
17,2023-02-01 14:00:00,MS4,Motorcycle,53,Inbound,2
18,2023-02-01 14:30:00,MS4,Car,61,Outbound,1
19,2023-02-01 15:00:00,MS4,Motorcycle,30,Outbound,1
20,2023-02-01 15:30:00,MS4,Motorcycle,37,Outbound,2
21,2023-02-01 16:00:00,MS4,Motorcycle,74,Inbound,2
22,2023-02-01 16:30:00,MS4,Bus,52,Inbound,1
23,2023-02-01 17:00:00,MS4,Car,76,Inbound,1
24,2023-02-01 17:30:00,MS4,Motorcycle,69,Inbound,1
25,2023-02-01 18:00:00,MS4,Truck,41,Outbound,1
26,2023-02-01 18:30:00,MS4,Truck,83,Outbound,2
27,2023-02-01 19:00:00,MS4,Truck,41,Inbound,2
28,2023-02-01 19:30:00,MS4,Truck,75,Outbound,2
29,2023-02-01 20:00:00,MS4,Bus,76,Outbound,2
30,2023-02-01 20:30:00,MS4,Motorcycle,44,Inbound,1
31,2023-02-01 21:00:00,MS4,Car,70,Outbound,1
32,2023-02-01 21:30:00,MS4,Motorcycle,48,Inbound,2
33,2023-02-01 22:00:00,MS4,Bus,55,Outbound,2
34,2023-02-01 22:30:00,MS4,Truck,81,Inbound,2
35,2023-02-01 23:00:00,MS4,Bus,58,Outbound,2
36,2023-02-01 23:30:00,MS4,Motorcycle,51,Outbound,2
37,2023-02-02 00:00:00,MS4,Car,69,Inbound,2
38,2023-02-02 00:30:00,MS4,Bus,50,Inbound,2
39,2023-02-02 01:00:00,MS4,Car,80,Inbound,2
40,2023-02-02 01:30:00,MS4,Bus,67,Inbound,2
41,2023-02-02 02:00:00,MS4,Car,49,Outbound,1
42,2023-02-02 02:30:00,MS4,Car,58,Outbound,2
43,2023-02-02 03:00:00,MS4,Truck,80,Inbound,1
44,2023-02-02 03:30:00,MS4,Car,33,Outbound,1
45,2023-02-02 04:00:00,MS4,Truck,84,Inbound,2
46,2023-02-02 04:30:00,MS4,Motorcycle,36,Inbound,2
47,2023-02-02 05:00:00,MS4,Motorcycle,57,Outbound,1
48,2023-02-02 05:30:00,MS4,Truck,57,Outbound,1
49,2023-02-02 06:00:00,MS4,Truck,33,Inbound,2
50,2023-02-02 06:30:00,MS4,Bus,51,Inbound,1
51,2023-02-02 07:00:00,MS4,Bus,41,Inbound,2
52,2023-02-02 07:30:00,MS4,Bus,74,Outbound,2
53,2023-02-02 08:00:00,MS4,Motorcycle,32,Outbound,2
54,2023-02-02 08:30:00,MS4,Bus,51,Outbound,1
55,2023-02-02 09:00:00,MS4,Car,73,Outbound,1
56,2023-02-02 09:30:00,MS4,Car,31,Inbound,2
57,2023-02-02 10:00:00,MS4,Bus,53,Inbound,1
58,2023-02-02 10:30:00,MS4,Car,63,Inbound,1
59,2023-02-02 11:00:00,MS4,Motorcycle,56,Inbound,1
60,2023-02-02 11:30:00,MS4,Car,84,Inbound,1
61,2023-02-02 12:00:00,MS4,Motorcycle,70,Inbound,1
62,2023-02-02 12:30:00,MS4,Truck,30,Outbound,1
63,2023-02-02 13:00:00,MS4,Truck,37,Outbound,1
64,2023-02-02 13:30:00,MS4,Truck,52,Inbound,2
65,2023-02-02 14:00:00,MS4,Truck,67,Inbound,1
66,2023-02-02 14:30:00,MS4,Car,35,Outbound,1
67,2023-02-02 15:00:00,MS4,Bus,51,Outbound,1
68,2023-02-02 15:30:00,MS4,Car,54,Outbound,1
69,2023-02-02 16:00:00,MS4,Motorcycle,47,Outbound,1
70,2023-02-02 16:30:00,MS4,Car,46,Inbound,1
71,2023-02-02 17:00:00,MS4,Car,41,Inbound,1
72,2023-02-02 17:30:00,MS4,Motorcycle,35,Inbound,1
73,2023-02-02 18:00:00,MS4,Truck,55,Inbound,2
74,2023-02-02 18:30:00,MS4,Truck,56,Inbound,1
75,2023-02-02 19:00:00,MS4,Truck,37,Outbound,1
76,2023-02-02 19:30:00,MS4,Bus,48,Inbound,1
77,2023-02-02 20:00:00,MS4,Motorcycle,71,Outbound,1
78,2023-02-02 20:30:00,MS4,Motorcycle,30,Inbound,2
79,2023-02-02 21:00:00,MS4,Car,58,Inbound,2
80,2023-02-02 21:30:00,MS4,Bus,74,Inbound,2
81,2023-02-02 22:00:00,MS4,Truck,78,Inbound,2
82,2023-02-02 22:30:00,MS4,Bus,64,Inbound,2
83,2023-02-02 23:00:00,MS4,Motorcycle,69,Outbound,2
84,2023-02-02 23:30:00,MS4,Motorcycle,43,Outbound,2
85,2023-02-03 00:00:00,MS4,Car,64,Outbound,2
86,2023-02-03 00:30:00,MS4,Car,77,Inbound,2
87,2023-02-03 01:00:00,MS4,Motorcycle,74,Inbound,2
88,2023-02-03 01:30:00,MS4,Truck,49,Outbound,2
89,2023-02-03 02:00:00,MS4,Truck,78,Inbound,2
90,2023-02-03 02:30:00,MS4,Bus,42,Inbound,2
91,2023-02-03 03:00:00,MS4,Motorcycle,67,Outbound,2
92,2023-02-03 03:30:00,MS4,Motorcycle,78,Inbound,2
93,2023-02-03 04:00:00,MS4,Truck,75,Outbound,2
94,2023-02-03 04:30:00,MS4,Truck,78,Inbound,1
95,2023-02-03 05:00:00,MS4,Motorcycle,37,Outbound,2
96,2023-02-03 05:30:00,MS4,Car,72,Inbound,1
97,2023-02-03 06:00:00,MS4,Motorcycle,49,Inbound,2
98,2023-02-03 06:30:00,MS4,Motorcycle,62,Outbound,2
99,2023-02-03 07:00:00,MS4,Truck,55,Inbound,1
100,2023-02-03 07:30:00,MS4,Truck,68,Inbound,2
101,2023-02-03 08:00:00,MS4,Car,50,Outbound,1
102,2023-02-03 08:30:00,MS4,Car,82,Inbound,1
103,2023-02-03 09:00:00,MS4,Bus,78,Outbound,1
104,2023-02-03 09:30:00,MS4,Motorcycle,71,Inbound,2
105,2023-02-03 10:00:00,MS4,Truck,72,Inbound,2
106,2023-02-03 10:30:00,MS4,Car,83,Inbound,2
107,2023-02-03 11:00:00,MS4,Bus,70,Inbound,1
108,2023-02-03 11:30:00,MS4,Bus,38,Outbound,1
109,2023-02-03 12:00:00,MS4,Truck,53,Inbound,2
110,2023-02-03 12:30:00,MS4,Truck,66,Outbound,2
111,2023-02-03 13:00:00,MS4,Bus,78,Inbound,2
112,2023-02-03 13:30:00,MS4,Car,70,Inbound,2
113,2023-02-03 14:00:00,MS4,Bus,46,Inbound,2
114,2023-02-03 14:30:00,MS4,Motorcycle,53,Inbound,1
115,2023-02-03 15:00:00,MS4,Motorcycle,50,Outbound,1
116,2023-02-03 15:30:00,MS4,Truck,80,Outbound,1
117,2023-02-03 16:00:00,MS4,Car,68,Outbound,2
118,2023-02-03 16:30:00,MS4,Car,84,Outbound,1
119,2023-02-03 17:00:00,MS4,Motorcycle,70,Inbound,1
120,2023-02-03 17:30:00,MS4,Bus,68,Outbound,1
121,2023-02-03 18:00:00,MS4,Truck,42,Outbound,1
122,2023-02-03 18:30:00,MS4,Bus,40,Inbound,1
123,2023-02-03 19:00:00,MS4,Bus,75,Inbound,2
124,2023-02-03 19:30:00,MS4,Bus,48,Inbound,1
125,2023-02-03 20:00:00,MS4,Car,40,Inbound,2
126,2023-02-03 20:30:00,MS4,Motorcycle,42,Outbound,2
127,2023-02-03 21:00:00,MS4,Car,75,Outbound,2
128,2023-02-03 21:30:00,MS4,Motorcycle,74,Inbound,2
129,2023-02-03 22:00:00,MS4,Truck,30,Inbound,2
130,2023-02-03 22:30:00,MS4,Truck,69,Inbound,1
131,2023-02-03 23:00:00,MS4,Bus,73,Outbound,1
132,2023-02-03 23:30:00,MS4,Motorcycle,48,Outbound,2
133,2023-02-04 00:00:00,MS4,Motorcycle,41,Inbound,2
134,2023-02-04 00:30:00,MS4,Motorcycle,37,Inbound,2
135,2023-02-04 01:00:00,MS4,Bus,37,Outbound,1
136,2023-02-04 01:30:00,MS4,Bus,82,Inbound,2
137,2023-02-04 02:00:00,MS4,Truck,74,Inbound,1
138,2023-02-04 02:30:00,MS4,Car,41,Outbound,2
139,2023-02-04 03:00:00,MS4,Motorcycle,77,Inbound,1
140,2023-02-04 03:30:00,MS4,Motorcycle,62,Outbound,2
141,2023-02-04 04:00:00,MS4,Car,74,Inbound,1
142,2023-02-04 04:30:00,MS4,Motorcycle,55,Inbound,2
143,2023-02-04 05:00:00,MS4,Bus,68,Outbound,1
144,2023-02-04 05:30:00,MS4,Bus,57,Outbound,1
