Vehicle ID,Timestamp,Location,Vehicle Type,Speed (km/h),Direction,Lane Number
1,2023-02-01 06:00:00,MS3,Bus,75,Inbound,2
2,2023-02-01 06:30:00,MS3,Motorcycle,32,Outbound,1
3,2023-02-01 07:00:00,MS3,Motorcycle,64,Inbound,2
4,2023-02-01 07:30:00,MS3,Bus,70,Inbound,1
5,2023-02-01 08:00:00,MS3,Truck,35,Outbound,1
6,2023-02-01 08:30:00,MS3,Car,54,Inbound,2
7,2023-02-01 09:00:00,MS3,Truck,42,Outbound,2
8,2023-02-01 09:30:00,MS3,Bus,63,Outbound,1
9,2023-02-01 10:00:00,MS3,Motorcycle,37,Outbound,2
10,2023-02-01 10:30:00,MS3,Truck,50,Outbound,2
11,2023-02-01 11:00:00,MS3,Car,63,Outbound,2
12,2023-02-01 11:30:00,MS3,Bus,33,Inbound,2
13,2023-02-01 12:00:00,MS3,Truck,54,Inbound,2
14,2023-02-01 12:30:00,MS3,Car,44,Outbound,1
15,2023-02-01 13:00:00,MS3,Bus,33,Outbound,1
16,2023-02-01 13:30:00,MS3,Car,74,Inbound,2
17,2023-02-01 14:00:00,MS3,Bus,41,Outbound,1
18,2023-02-01 14:30:00,MS3,Motorcycle,61,Outbound,1
19,2023-02-01 15:00:00,MS3,Truck,61,Outbound,2
20,2023-02-01 15:30:00,MS3,Car,57,Inbound,1
21,2023-02-01 16:00:00,MS3,Bus,42,Inbound,2
22,2023-02-01 16:30:00,MS3,Car,60,Outbound,2
23,2023-02-01 17:00:00,MS3,Car,43,Outbound,1
24,2023-02-01 17:30:00,MS3,Truck,49,Inbound,2
25,2023-02-01 18:00:00,MS3,Motorcycle,47,Inbound,2
26,2023-02-01 18:30:00,MS3,Car,58,Outbound,2
27,2023-02-01 19:00:00,MS3,Bus,35,Outbound,2
28,2023-02-01 19:30:00,MS3,Bus,61,Inbound,2
29,2023-02-01 20:00:00,MS3,Motorcycle,58,Inbound,1
30,2023-02-01 20:30:00,MS3,Bus,72,Inbound,1
31,2023-02-01 21:00:00,MS3,Motorcycle,31,Outbound,2
32,2023-02-01 21:30:00,MS3,Bus,52,Inbound,2
33,2023-02-01 22:00:00,MS3,Truck,48,Outbound,1
34,2023-02-01 22:30:00,MS3,Car,60,Inbound,2
35,2023-02-01 23:00:00,MS3,Truck,34,Inbound,1
36,2023-02-01 23:30:00,MS3,Car,48,Inbound,2
37,2023-02-02 00:00:00,MS3,Car,63,Inbound,2
38,2023-02-02 00:30:00,MS3,Car,39,Outbound,2
39,2023-02-02 01:00:00,MS3,Truck,54,Outbound,2
40,2023-02-02 01:30:00,MS3,Car,31,Inbound,2
41,2023-02-02 02:00:00,MS3,Truck,40,Outbound,2
42,2023-02-02 02:30:00,MS3,Motorcycle,79,Inbound,2
43,2023-02-02 03:00:00,MS3,Bus,60,Inbound,1
44,2023-02-02 03:30:00,MS3,Bus,44,Inbound,1
45,2023-02-02 04:00:00,MS3,Car,38,Inbound,1
46,2023-02-02 04:30:00,MS3,Truck,52,Outbound,2
47,2023-02-02 05:00:00,MS3,Bus,48,Inbound,2
48,2023-02-02 05:30:00,MS3,Truck,38,Inbound,2
49,2023-02-02 06:00:00,MS3,Truck,64,Outbound,2
50,2023-02-02 06:30:00,MS3,Car,50,Inbound,2
51,2023-02-02 07:00:00,MS3,Bus,38,Inbound,2
52,2023-02-02 07:30:00,MS3,Car,57,Inbound,2
53,2023-02-02 08:00:00,MS3,Car,75,Outbound,1
54,2023-02-02 08:30:00,MS3,Bus,36,Inbound,2
55,2023-02-02 09:00:00,MS3,Bus,45,Outbound,1
56,2023-02-02 09:30:00,MS3,Motorcycle,45,Inbound,1
57,2023-02-02 10:00:00,MS3,Motorcycle,62,Inbound,2
58,2023-02-02 10:30:00,MS3,Truck,33,Outbound,2
59,2023-02-02 11:00:00,MS3,Bus,33,Inbound,1
60,2023-02-02 11:30:00,MS3,Motorcycle,68,Inbound,1
61,2023-02-02 12:00:00,MS3,Truck,69,Outbound,2
62,2023-02-02 12:30:00,MS3,Truck,46,Outbound,2
63,2023-02-02 13:00:00,MS3,Truck,66,Outbound,1
64,2023-02-02 13:30:00,MS3,Motorcycle,68,Outbound,2
