Vehicle ID,Timestamp,Location,Vehicle Type,Speed (km/h),Direction,Lane Number
1,2023-02-01 06:00:00,MS2,Truck,53,Outbound,1
2,2023-02-01 06:30:00,MS2,Truck,46,Inbound,2
3,2023-02-01 07:00:00,MS2,Bus,49,Inbound,1
4,2023-02-01 07:30:00,MS2,Motorcycle,37,Inbound,1
5,2023-02-01 08:00:00,MS2,Truck,42,Outbound,1
6,2023-02-01 08:30:00,MS2,Bicycle,57,Outbound,2
7,2023-02-01 09:00:00,MS2,Truck,40,Inbound,2
8,2023-02-01 09:30:00,MS2,Car,69,Outbound,2
9,2023-02-01 10:00:00,MS2,Car,66,Outbound,2
10,2023-02-01 10:30:00,MS2,Motorcycle,68,Outbound,1
11,2023-02-01 11:00:00,MS2,Bus,26,Inbound,1
12,2023-02-01 11:30:00,MS2,Motorcycle,59,Outbound,2
13,2023-02-01 12:00:00,MS2,Motorcycle,66,Outbound,2
14,2023-02-01 12:30:00,MS2,Motorcycle,58,Inbound,1
15,2023-02-01 13:00:00,MS2,Motorcycle,54,Inbound,1
16,2023-02-01 13:30:00,MS2,Bicycle,37,Outbound,2
17,2023-02-01 14:00:00,MS2,Bicycle,37,Outbound,2
18,2023-02-01 14:30:00,MS2,Truck,42,Inbound,2
19,2023-02-01 15:00:00,MS2,Car,56,Inbound,2
20,2023-02-01 15:30:00,MS2,Motorcycle,56,Outbound,1
21,2023-02-01 16:00:00,MS2,Truck,59,Outbound,1
22,2023-02-01 16:30:00,MS2,Car,63,Outbound,1
23,2023-02-01 17:00:00,MS2,Bus,70,Outbound,2
24,2023-02-01 17:30:00,MS2,Bicycle,53,Inbound,2
25,2023-02-01 18:00:00,MS2,Car,73,Outbound,1
26,2023-02-01 18:30:00,MS2,Bus,53,Outbound,1
27,2023-02-01 19:00:00,MS2,Car,68,Inbound,1
28,2023-02-01 19:30:00,MS2,Bicycle,40,Outbound,1
29,2023-02-01 20:00:00,MS2,Bicycle,68,Inbound,2
30,2023-02-01 20:30:00,MS2,Truck,71,Outbound,1
31,2023-02-01 21:00:00,MS2,Motorcycle,34,Outbound,1
32,2023-02-01 21:30:00,MS2,Car,54,Inbound,1
33,2023-02-01 22:00:00,MS2,Car,49,Inbound,1
34,2023-02-01 22:30:00,MS2,Bus,63,Outbound,1
35,2023-02-01 23:00:00,MS2,Bicycle,44,Outbound,1
36,2023-02-01 23:30:00,MS2,Car,29,Outbound,1
37,2023-02-02 00:00:00,MS2,Bicycle,25,Inbound,2
38,2023-02-02 00:30:00,MS2,Car,54,Outbound,2
39,2023-02-02 01:00:00,MS2,Truck,73,Inbound,2
40,2023-02-02 01:30:00,MS2,Motorcycle,27,Inbound,2
41,2023-02-02 02:00:00,MS2,Car,69,Outbound,1
42,2023-02-02 02:30:00,MS2,Bicycle,38,Inbound,2
43,2023-02-02 03:00:00,MS2,Truck,54,Outbound,2
44,2023-02-02 03:30:00,MS2,Car,74,Outbound,1
45,2023-02-02 04:00:00,MS2,Bus,28,Outbound,1
46,2023-02-02 04:30:00,MS2,Motorcycle,42,Outbound,2
47,2023-02-02 05:00:00,MS2,Car,61,Outbound,2
48,2023-02-02 05:30:00,MS2,Truck,49,Inbound,1
49,2023-02-02 06:00:00,MS2,Bus,72,Inbound,2
50,2023-02-02 06:30:00,MS2,Truck,25,Outbound,1
51,2023-02-02 07:00:00,MS2,Truck,70,Outbound,1
52,2023-02-02 07:30:00,MS2,Bus,39,Inbound,1
53,2023-02-02 08:00:00,MS2,Truck,33,Inbound,1
54,2023-02-02 08:30:00,MS2,Bus,39,Inbound,2
55,2023-02-02 09:00:00,MS2,Car,73,Inbound,1
56,2023-02-02 09:30:00,MS2,Bus,48,Outbound,1
57,2023-02-02 10:00:00,MS2,Bus,28,Outbound,2
58,2023-02-02 10:30:00,MS2,Motorcycle,36,Inbound,1
59,2023-02-02 11:00:00,MS2,Bus,61,Outbound,2
60,2023-02-02 11:30:00,MS2,Bus,61,Inbound,2
61,2023-02-02 12:00:00,MS2,Car,67,Outbound,2
62,2023-02-02 12:30:00,MS2,Motorcycle,30,Inbound,1
63,2023-02-02 13:00:00,MS2,Bicycle,63,Outbound,2
64,2023-02-02 13:30:00,MS2,Car,70,Inbound,2
65,2023-02-02 14:00:00,MS2,Car,48,Inbound,1
66,2023-02-02 14:30:00,MS2,Bicycle,35,Outbound,2
67,2023-02-02 15:00:00,MS2,Bus,37,Inbound,2
68,2023-02-02 15:30:00,MS2,Truck,58,Outbound,2
69,2023-02-02 16:00:00,MS2,Motorcycle,49,Outbound,2
70,2023-02-02 16:30:00,MS2,Truck,31,Inbound,2
71,2023-02-02 17:00:00,MS2,Bicycle,28,Outbound,1
72,2023-02-02 17:30:00,MS2,Car,32,Outbound,2
73,2023-02-02 18:00:00,MS2,Car,44,Outbound,2
74,2023-02-02 18:30:00,MS2,Motorcycle,53,Outbound,1
75,2023-02-02 19:00:00,MS2,Car,69,Outbound,1
76,2023-02-02 19:30:00,MS2,Car,70,Inbound,1
77,2023-02-02 20:00:00,MS2,Motorcycle,34,Outbound,2
78,2023-02-02 20:30:00,MS2,Motorcycle,67,Outbound,1
79,2023-02-02 21:00:00,MS2,Bicycle,58,Outbound,2
80,2023-02-02 21:30:00,MS2,Car,50,Outbound,2
81,2023-02-02 22:00:00,MS2,Car,65,Outbound,1
82,2023-02-02 22:30:00,MS2,Bicycle,73,Inbound,1
83,2023-02-02 23:00:00,MS2,Bus,27,Outbound,2
84,2023-02-02 23:30:00,MS2,Bus,30,Inbound,1
85,2023-02-03 00:00:00,MS2,Bus,29,Inbound,2
86,2023-02-03 00:30:00,MS2,Bicycle,29,Inbound,1
87,2023-02-03 01:00:00,MS2,Car,71,Inbound,1
88,2023-02-03 01:30:00,MS2,Bicycle,47,Outbound,1
89,2023-02-03 02:00:00,MS2,Bicycle,73,Inbound,2
90,2023-02-03 02:30:00,MS2,Bus,33,Inbound,1
91,2023-02-03 03:00:00,MS2,Truck,59,Outbound,2
92,2023-02-03 03:30:00,MS2,Car,44,Outbound,2
93,2023-02-03 04:00:00,MS2,Bus,73,Outbound,2
94,2023-02-03 04:30:00,MS2,Truck,66,Inbound,2
95,2023-02-03 05:00:00,MS2,Truck,59,Outbound,1
96,2023-02-03 05:30:00,MS2,Motorcycle,74,Outbound,2
97,2023-02-03 06:00:00,MS2,Car,42,Inbound,2
98,2023-02-03 06:30:00,MS2,Truck,41,Outbound,1
99,2023-02-03 07:00:00,MS2,Bus,48,Outbound,2
100,2023-02-03 07:30:00,MS2,Motorcycle,27,Outbound,1
101,2023-02-03 08:00:00,MS2,Car,56,Outbound,2
102,2023-02-03 08:30:00,MS2,Bicycle,59,Inbound,1
103,2023-02-03 09:00:00,MS2,Bus,62,Outbound,2
104,2023-02-03 09:30:00,MS2,Truck,37,Outbound,1
105,2023-02-03 10:00:00,MS2,Truck,71,Inbound,2
106,2023-02-03 10:30:00,MS2,Bus,49,Outbound,2
107,2023-02-03 11:00:00,MS2,Truck,33,Inbound,1
108,2023-02-03 11:30:00,MS2,Motorcycle,28,Outbound,1
109,2023-02-03 12:00:00,MS2,Car,38,Inbound,1
110,2023-02-03 12:30:00,MS2,Motorcycle,61,Inbound,1
111,2023-02-03 13:00:00,MS2,Truck,58,Inbound,2
112,2023-02-03 13:30:00,MS2,Bicycle,35,Inbound,2
113,2023-02-03 14:00:00,MS2,Car,65,Outbound,1
114,2023-02-03 14:30:00,MS2,Car,27,Inbound,2
115,2023-02-03 15:00:00,MS2,Bus,52,Outbound,1
116,2023-02-03 15:30:00,MS2,Bus,53,Inbound,1
117,2023-02-03 16:00:00,MS2,Bicycle,33,Inbound,2
118,2023-02-03 16:30:00,MS2,Car,27,Inbound,2
119,2023-02-03 17:00:00,MS2,Bicycle,49,Outbound,2
120,2023-02-03 17:30:00,MS2,Bus,58,Inbound,2
121,2023-02-03 18:00:00,MS2,Bus,36,Outbound,2
122,2023-02-03 18:30:00,MS2,Car,66,Outbound,2
123,2023-02-03 19:00:00,MS2,Motorcycle,33,Outbound,2
124,2023-02-03 19:30:00,MS2,Truck,39,Outbound,1
